date,money
2013-07-10,17.9
2013-07-11,25.6
2013-07-12,11.4
2013-07-13,14.8
2013-07-14,25
2013-07-15,62.7
2013-07-16,34.2
2013-07-17,19.5
2013-07-18,20.7
2013-07-19,18.2
2013-07-20,12.8
2013-07-21,86
2013-07-22,20.2
2013-07-23,20
2013-07-24,17.7
2013-07-25,20.4
2013-07-26,22.4
2013-07-27,13.5
2013-07-28,123.5
2013-07-29,19.6
2013-07-30,20.4
2013-07-31,19.8
2013-08-01,16.7
2013-08-02,19.1
2013-08-03,42
2013-08-05,18.8
2013-08-06,20.5
2013-08-07,38.6
2013-08-08,20.5
2013-08-09,137.7
2013-08-10,26.4
2013-08-11,31
2013-08-12,29
2013-08-13,19.4
2013-08-14,20.9
2013-08-15,18.2
2013-08-16,47.5
2013-08-17,38
2013-08-19,20.6
2013-08-20,11.9
2013-08-21,18.5
2013-08-22,19.5
2013-08-23,38.5
2013-08-24,27
2013-08-25,28.2
2013-08-26,10.5
2013-08-28,48.6
2013-08-29,21.8
2013-08-30,32.3
2013-08-31,21.3
2013-09-01,42.2
2013-09-02,21.1
2013-09-03,25.2
2013-09-04,18.7
